"No.","Time","Source","Destination","Protocol","Length","Info"
"631","15.995234","192.168.75.216","58.251.106.185","TCP","352","58303  >  443 [PSH, ACK] Seq=1 Ack=1 Win=65536 Len=298 [TCP segment of a reassembled PDU]"
"633","15.996592","192.168.75.216","101.33.47.206","TCP","66","58304  >  8081 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=2 SACK_PERM=1"
"634","15.996648","192.168.75.216","101.33.47.206","TCP","66","58305  >  8081 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=2 SACK_PERM=1"
"636","16.196796","192.168.75.216","101.33.47.206","TCP","66","58306  >  8081 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=2 SACK_PERM=1"
"637","16.202887","101.33.47.206","192.168.75.216","TCP","66","8081  >  58305 [SYN, ACK] Seq=0 Ack=1 Win=4200 Len=0 MSS=1400 WS=32 SACK_PERM=1"
"638","16.202887","101.33.47.206","192.168.75.216","TCP","66","8081  >  58304 [SYN, ACK] Seq=0 Ack=1 Win=4200 Len=0 MSS=1400 WS=32 SACK_PERM=1"
"639","16.203068","192.168.75.216","101.33.47.206","TCP","54","58305  >  8081 [ACK] Seq=1 Ack=1 Win=65536 Len=0"
"640","16.203095","192.168.75.216","101.33.47.206","TCP","1089","58305  >  8081 [PSH, ACK] Seq=1 Ack=1 Win=65536 Len=1035"
"641","16.203128","192.168.75.216","101.33.47.206","TCP","1073","58304  >  8081 [PSH, ACK] Seq=1 Ack=1 Win=65536 Len=1019"
"642","16.203178","192.168.75.216","101.33.47.206","TCP","54","58304  >  8081 [FIN, ACK] Seq=1020 Ack=1 Win=65536 Len=0"
"643","16.203205","192.168.75.216","101.33.47.206","TCP","54","58305  >  8081 [FIN, ACK] Seq=1036 Ack=1 Win=65536 Len=0"
"644","16.324981","192.168.75.216","58.251.106.185","TCP","352","[TCP Retransmission] 58303  >  443 [PSH, ACK] Seq=1 Ack=1 Win=65536 Len=298"
"645","16.326580","101.33.47.206","192.168.75.216","TCP","66","8081  >  58306 [SYN, ACK] Seq=0 Ack=1 Win=4200 Len=0 MSS=1400 WS=32 SACK_PERM=1"
"646","16.326580","101.33.47.206","192.168.75.216","TCP","54","8081  >  58305 [ACK] Seq=1 Ack=1036 Win=5216 Len=0"
"647","16.327061","192.168.75.216","101.33.47.206","TCP","54","58306  >  8081 [ACK] Seq=1 Ack=1 Win=65536 Len=0"
"648","16.327110","192.168.75.216","101.33.47.206","TCP","1137","58306  >  8081 [PSH, ACK] Seq=1 Ack=1 Win=65536 Len=1083"
"649","16.327222","192.168.75.216","101.33.47.206","TCP","54","58306  >  8081 [FIN, ACK] Seq=1084 Ack=1 Win=65536 Len=0"
"650","16.327630","101.33.47.206","192.168.75.216","TCP","54","8081  >  58304 [ACK] Seq=1 Ack=1020 Win=5216 Len=0"
"651","16.327630","101.33.47.206","192.168.75.216","TCP","276","8081  >  58304 [PSH, ACK] Seq=1 Ack=1020 Win=5216 Len=222"
"652","16.327630","101.33.47.206","192.168.75.216","TCP","54","8081  >  58304 [FIN, ACK] Seq=223 Ack=1020 Win=5216 Len=0"
"653","16.327630","101.33.47.206","192.168.75.216","TCP","276","8081  >  58305 [PSH, ACK] Seq=1 Ack=1036 Win=5216 Len=222"
"654","16.327630","101.33.47.206","192.168.75.216","TCP","54","8081  >  58305 [FIN, ACK] Seq=223 Ack=1036 Win=5216 Len=0"
"655","16.327833","192.168.75.216","101.33.47.206","TCP","54","58304  >  8081 [ACK] Seq=1021 Ack=224 Win=65314 Len=0"
"656","16.327955","192.168.75.216","101.33.47.206","TCP","54","58305  >  8081 [ACK] Seq=1037 Ack=224 Win=65314 Len=0"
"657","16.471563","192.168.75.216","13.236.8.150","TCP","55","58221  >  443 [ACK] Seq=1 Ack=1 Win=256 Len=1 [TCP segment of a reassembled PDU]"
"658","16.476377","58.251.106.185","192.168.75.216","TCP","54","443  >  58303 [ACK] Seq=1 Ack=299 Win=4480 Len=0"
"659","16.476377","101.33.47.206","192.168.75.216","TCP","54","8081  >  58306 [ACK] Seq=1 Ack=1084 Win=5280 Len=0"
"660","16.476525","101.33.47.206","192.168.75.216","TCP","276","8081  >  58306 [PSH, ACK] Seq=1 Ack=1084 Win=5280 Len=222"
"661","16.477453","101.33.47.206","192.168.75.216","TCP","54","8081  >  58306 [FIN, ACK] Seq=223 Ack=1084 Win=5280 Len=0"
"662","16.477537","192.168.75.216","101.33.47.206","TCP","54","58306  >  8081 [ACK] Seq=1085 Ack=224 Win=65314 Len=0"
"663","16.809749","13.236.8.150","192.168.75.216","TCP","54","443  >  58221 [ACK] Seq=1 Ack=2 Win=216 Len=0"
"664","16.814937","192.168.75.216","101.33.47.206","TCP","54","[TCP Retransmission] 58306  >  8081 [FIN, ACK] Seq=1084 Ack=224 Win=65314 Len=0"
"665","16.903711","192.168.75.216","101.33.47.206","TCP","54","[TCP Retransmission] 58305  >  8081 [FIN, ACK] Seq=1036 Ack=224 Win=65314 Len=0"
"666","16.904655","58.251.106.185","192.168.75.216","TCP","74","443  >  58303 [PSH, ACK] Seq=1 Ack=299 Win=4480 Len=20 [TCP segment of a reassembled PDU]"
"667","16.904655","101.33.47.206","192.168.75.216","TCP","54","8081  >  58306 [ACK] Seq=224 Ack=1085 Win=5280 Len=0"
"668","16.904877","192.168.75.216","58.251.106.185","TCP","392","58303  >  443 [PSH, ACK] Seq=299 Ack=21 Win=65516 Len=338 [TCP segment of a reassembled PDU]"
"669","16.911693","192.168.75.216","101.33.47.206","TCP","54","[TCP Retransmission] 58304  >  8081 [FIN, ACK] Seq=1020 Ack=224 Win=65314 Len=0"
"670","17.220858","192.168.75.216","58.251.106.185","TCP","392","[TCP Retransmission] 58303  >  443 [PSH, ACK] Seq=299 Ack=21 Win=65516 Len=338"
"671","17.224769","101.33.47.206","192.168.75.216","TCP","54","8081  >  58305 [ACK] Seq=224 Ack=1037 Win=5216 Len=0"
"672","17.224769","101.33.47.206","192.168.75.216","TCP","54","8081  >  58304 [ACK] Seq=224 Ack=1021 Win=5216 Len=0"
"673","17.224956","58.251.106.185","192.168.75.216","TCP","54","443  >  58303 [ACK] Seq=21 Ack=637 Win=4832 Len=0"
"675","18.013132","58.251.106.185","192.168.75.216","TCP","54","[TCP Dup ACK 673#1] 443  >  58303 [ACK] Seq=21 Ack=637 Win=4832 Len=0"
"676","18.013132","58.251.106.185","192.168.75.216","TCP","74","443  >  58303 [PSH, ACK] Seq=21 Ack=637 Win=4832 Len=20 [TCP segment of a reassembled PDU]"
"677","18.013376","192.168.75.216","58.251.106.185","TCP","392","58303  >  443 [PSH, ACK] Seq=637 Ack=41 Win=65496 Len=338 [TCP segment of a reassembled PDU]"
"678","18.013496","140.82.114.21","192.168.75.216","TLSv1.2","93","Application Data"
"679","18.013496","140.82.114.21","192.168.75.216","TCP","54","443  >  58293 [FIN, ACK] Seq=40 Ack=1 Win=292 Len=0"
"680","18.013587","192.168.75.216","140.82.114.21","TCP","54","58293  >  443 [ACK] Seq=1 Ack=41 Win=256 Len=0"
"681","18.013835","192.168.75.216","140.82.114.21","TCP","54","58293  >  443 [FIN, ACK] Seq=1 Ack=41 Win=256 Len=0"
"682","18.146137","192.168.75.216","3.233.149.199","TLSv1.2","277","Application Data"
"683","18.146270","192.168.75.216","3.233.149.199","TLSv1.2","100","Application Data"
"684","18.146327","192.168.75.216","3.233.149.199","TLSv1.2","1335","Application Data"
"685","18.147014","140.82.114.21","192.168.75.216","TCP","54","443  >  58293 [ACK] Seq=41 Ack=2 Win=292 Len=0"
"686","18.147014","58.251.106.185","192.168.75.216","TCP","54","443  >  58303 [ACK] Seq=41 Ack=975 Win=5152 Len=0"
"724","18.216762","3.233.149.199","192.168.75.216","TCP","54","443  >  58279 [ACK] Seq=1 Ack=224 Win=610 Len=0"
"725","18.216762","3.233.149.199","192.168.75.216","TCP","54","443  >  58279 [ACK] Seq=1 Ack=1551 Win=651 Len=0"
"728","18.809497","3.233.149.199","192.168.75.216","TLSv1.2","100","Application Data"
"729","18.809741","3.233.149.199","192.168.75.216","TLSv1.2","199","Application Data"
"730","18.809741","3.233.149.199","192.168.75.216","TLSv1.2","92","Application Data"
"731","18.809741","58.251.106.185","192.168.75.216","TCP","74","443  >  58303 [PSH, ACK] Seq=41 Ack=975 Win=5152 Len=20 [TCP segment of a reassembled PDU]"
"732","18.809855","192.168.75.216","3.233.149.199","TCP","54","58279  >  443 [ACK] Seq=1551 Ack=230 Win=255 Len=0"
"733","18.811045","192.168.75.216","3.233.149.199","TLSv1.2","96","Application Data"
"734","18.868086","192.168.75.216","58.251.106.185","TCP","54","58303  >  443 [ACK] Seq=975 Ack=61 Win=65476 Len=0"
"735","19.169637","192.168.75.216","74.125.200.188","TCP","55","[TCP segment of a reassembled PDU]"
"736","19.170737","3.233.149.199","192.168.75.216","TCP","54","443  >  58279 [ACK] Seq=230 Ack=1593 Win=652 Len=0"
"737","19.170737","3.232.39.161","192.168.75.216","TLSv1.2","93","Application Data"
"738","19.170892","3.232.39.161","192.168.75.216","TLSv1.2","78","Application Data"
"739","19.170937","192.168.75.216","3.232.39.161","TCP","54","58295  >  443 [ACK] Seq=1 Ack=64 Win=254 Len=0"
"740","19.171064","192.168.75.216","3.232.39.161","TCP","54","58295  >  443 [FIN, ACK] Seq=1 Ack=64 Win=254 Len=0"
"741","19.221027","192.168.75.216","18.211.189.31","TCP","55","58216  >  443 [ACK] Seq=1 Ack=1 Win=252 Len=1 [TCP segment of a reassembled PDU]"
"742","19.226095","3.232.39.161","192.168.75.216","TCP","54","443  >  58295 [ACK] Seq=64 Ack=2 Win=219 Len=0"
"743","19.602976","74.125.200.188","192.168.75.216","TCP","54","5228  >  57907 [ACK] Seq=1 Ack=2 Win=156 Len=0"
"744","19.602976","18.211.189.31","192.168.75.216","TCP","54","443  >  58216 [ACK] Seq=1 Ack=2 Win=187 Len=0"
"745","19.603137","3.232.39.161","192.168.75.216","TCP","54","443  >  58295 [FIN, ACK] Seq=64 Ack=2 Win=219 Len=0"
"746","19.603225","192.168.75.216","3.232.39.161","TCP","54","58295  >  443 [ACK] Seq=2 Ack=65 Win=254 Len=0"
"747","20.028470","192.168.75.216","58.251.106.185","TCP","54","58303  >  443 [FIN, ACK] Seq=975 Ack=61 Win=65476 Len=0"
"748","20.330278","192.168.75.216","58.251.106.185","TCP","54","[TCP Retransmission] 58303  >  443 [FIN, ACK] Seq=975 Ack=61 Win=65476 Len=0"
"749","20.334259","58.251.106.185","192.168.75.216","TCP","54","443  >  58303 [ACK] Seq=61 Ack=976 Win=5152 Len=0"
"750","20.439588","192.168.75.216","20.205.243.166","TCP","55","58283  >  443 [ACK] Seq=1 Ack=1 Win=257 Len=1 [TCP segment of a reassembled PDU]"
"751","20.444342","58.251.106.185","192.168.75.216","TCP","54","[TCP Dup ACK 749#1] 443  >  58303 [ACK] Seq=61 Ack=976 Win=5152 Len=0"
"752","20.816627","58.251.106.185","192.168.75.216","TCP","54","443  >  58303 [FIN, ACK] Seq=61 Ack=976 Win=5152 Len=0"
"753","20.816627","20.205.243.166","192.168.75.216","TCP","54","443  >  58283 [ACK] Seq=1 Ack=2 Win=530 Len=0"
"754","20.816774","192.168.75.216","58.251.106.185","TCP","54","58303  >  443 [ACK] Seq=976 Ack=62 Win=65476 Len=0"
"755","21.284597","192.168.75.216","185.199.108.133","TCP","55","57953  >  443 [ACK] Seq=1 Ack=1 Win=257 Len=1 [TCP segment of a reassembled PDU]"
"756","22.635050","185.199.108.133","192.168.75.216","TCP","54","443  >  57953 [ACK] Seq=1 Ack=2 Win=206 Len=0"
"802","23.617850","192.168.75.216","142.251.10.95","TCP","55","58149  >  443 [ACK] Seq=1 Ack=1 Win=254 Len=1 [TCP segment of a reassembled PDU]"
"804","24.682956","142.251.10.95","192.168.75.216","TCP","54","443  >  58149 [ACK] Seq=1 Ack=2 Win=149 Len=0"
"806","27.596832","192.168.75.216","185.199.108.154","TCP","55","58282  >  443 [ACK] Seq=1 Ack=1 Win=255 Len=1 [TCP segment of a reassembled PDU]"
"812","27.636157","185.199.108.154","192.168.75.216","TCP","54","443  >  58282 [ACK] Seq=1 Ack=2 Win=149 Len=0"
"861","31.142458","192.168.75.216","13.236.8.150","TLSv1.2","123","Ignored Unknown Record"
"862","31.142618","192.168.75.216","13.236.8.150","TLSv1.2","93","Application Data"
"863","31.639220","192.168.75.216","13.236.8.150","TCP","162","[TCP Retransmission] 58221  >  443 [PSH, ACK] Seq=2 Ack=1 Win=256 Len=108"
"864","31.640210","13.236.8.150","192.168.75.216","TCP","54","443  >  58221 [ACK] Seq=1 Ack=110 Win=219 Len=0"
"865","31.640210","13.236.8.150","192.168.75.216","TLSv1.2","137","Application Data"
"866","31.679206","192.168.75.216","20.205.243.168","TCP","55","58292  >  443 [ACK] Seq=1 Ack=1 Win=257 Len=1 [TCP segment of a reassembled PDU]"
"867","31.695217","192.168.75.216","13.236.8.150","TCP","54","58221  >  443 [ACK] Seq=110 Ack=84 Win=256 Len=0"
"868","31.970104","192.168.75.216","3.94.218.138","TCP","55","58124  >  443 [ACK] Seq=1 Ack=1 Win=257 Len=1 [TCP segment of a reassembled PDU]"
"869","31.974361","20.205.243.168","192.168.75.216","TCP","54","443  >  58292 [ACK] Seq=1 Ack=2 Win=1193 Len=0"
"870","32.172799","192.168.75.216","185.199.108.154","TCP","55","58285  >  443 [ACK] Seq=1 Ack=1 Win=254 Len=1 [TCP segment of a reassembled PDU]"
"871","32.176755","3.94.218.138","192.168.75.216","TCP","54","443  >  58124 [ACK] Seq=1 Ack=2 Win=249 Len=0"
"874","32.482246","185.199.108.154","192.168.75.216","TCP","54","443  >  58285 [ACK] Seq=1 Ack=2 Win=199 Len=0"
"875","32.681751","192.168.75.216","34.193.113.164","TCP","55","58125  >  443 [ACK] Seq=1 Ack=1 Win=256 Len=1 [TCP segment of a reassembled PDU]"
"887","32.724062","34.193.113.164","192.168.75.216","TCP","54","443  >  58125 [ACK] Seq=1 Ack=2 Win=320 Len=0"
"889","34.153248","192.168.75.216","18.211.189.31","TLSv1.2","122","Ignored Unknown Record"
"891","34.254516","18.211.189.31","192.168.75.216","TCP","54","443  >  58216 [ACK] Seq=1 Ack=70 Win=189 Len=0"
"974","34.453822","18.211.189.31","192.168.75.216","TLSv1.2","120","Application Data"
"976","34.508586","192.168.75.216","18.211.189.31","TCP","54","58216  >  443 [ACK] Seq=70 Ack=67 Win=252 Len=0"
"1051","34.647654","192.168.75.216","35.171.96.214","TCP","55","58298  >  443 [ACK] Seq=1 Ack=1 Win=256 Len=1 [TCP segment of a reassembled PDU]"
"1052","34.647657","192.168.75.216","35.171.96.214","TCP","55","58296  >  443 [ACK] Seq=1 Ack=1 Win=257 Len=1 [TCP segment of a reassembled PDU]"
"1103","34.711737","35.171.96.214","192.168.75.216","TCP","54","443  >  58298 [ACK] Seq=1 Ack=2 Win=151 Len=0"
"1110","34.713186","35.171.96.214","192.168.75.216","TCP","54","443  >  58296 [ACK] Seq=1 Ack=2 Win=274 Len=0"
"1408","35.391271","192.168.75.216","35.171.96.214","TCP","55","58297  >  443 [ACK] Seq=1 Ack=1 Win=257 Len=1 [TCP segment of a reassembled PDU]"
"1409","35.446715","35.171.96.214","192.168.75.216","TCP","54","443  >  58297 [ACK] Seq=1 Ack=2 Win=274 Len=0"
"1410","36.087630","192.168.75.216","20.96.88.162","TCP","55","58301  >  443 [ACK] Seq=1 Ack=1 Win=255 Len=1 [TCP segment of a reassembled PDU]"
"1411","36.164973","20.96.88.162","192.168.75.216","TCP","54","443  >  58301 [ACK] Seq=1 Ack=2 Win=152 Len=0"
"1496","42.564488","192.168.75.216","52.98.66.98","TCP","55","58048  >  443 [ACK] Seq=1 Ack=1 Win=252 Len=1 [TCP segment of a reassembled PDU]"
"1497","42.897272","52.98.66.98","192.168.75.216","TCP","54","443  >  58048 [ACK] Seq=1 Ack=2 Win=264 Len=0"
"1618","46.772963","192.168.75.216","52.71.28.102","TCP","55","[TCP Keep-Alive] 58005  >  443 [ACK] Seq=1 Ack=1 Win=255 Len=1"
"1621","47.079349","192.168.75.216","108.138.141.32","TCP","55","[TCP Keep-Alive] 58294  >  443 [ACK] Seq=1 Ack=1 Win=253 Len=1"
"1622","47.083399","52.71.28.102","192.168.75.216","TCP","54","[TCP Keep-Alive ACK] 443  >  58005 [ACK] Seq=1 Ack=2 Win=170 Len=0"
"1623","48.337583","108.138.141.32","192.168.75.216","TCP","54","[TCP Keep-Alive ACK] 443  >  58294 [ACK] Seq=1 Ack=2 Win=173 Len=0"
"1624","49.141477","192.168.75.216","3.233.149.199","TLSv1.2","277","Application Data"
"1625","49.141626","192.168.75.216","3.233.149.199","TLSv1.2","100","Application Data"
"1626","49.141691","192.168.75.216","3.233.149.199","TLSv1.2","1358","Application Data"
"1628","49.477446","3.233.149.199","192.168.75.216","TCP","54","443  >  58279 [ACK] Seq=230 Ack=1862 Win=661 Len=0"
"1629","49.477446","3.233.149.199","192.168.75.216","TCP","54","443  >  58279 [ACK] Seq=230 Ack=3166 Win=702 Len=0"
"1630","49.670579","3.233.149.199","192.168.75.216","TLSv1.2","100","Application Data"
"1631","49.670579","3.233.149.199","192.168.75.216","TLSv1.2","199","Application Data"
"1632","49.670710","192.168.75.216","3.233.149.199","TCP","54","58279  >  443 [ACK] Seq=3166 Ack=421 Win=255 Len=0"
"1633","49.670831","3.233.149.199","192.168.75.216","TLSv1.2","92","Application Data"
"1665","49.672873","192.168.75.216","3.233.149.199","TLSv1.2","96","Application Data"
"1698","50.201155","192.168.75.216","3.233.149.199","TCP","96","[TCP Retransmission] 58279  >  443 [PSH, ACK] Seq=3166 Ack=459 Win=255 Len=42"
"1700","50.205137","3.233.149.199","192.168.75.216","TCP","54","443  >  58279 [ACK] Seq=459 Ack=3208 Win=703 Len=0"
"1702","50.205528","20.205.243.166","192.168.75.216","TLSv1.2","93","Application Data"
"1703","50.205528","20.205.243.166","192.168.75.216","TCP","54","443  >  58283 [FIN, ACK] Seq=40 Ack=2 Win=530 Len=0"
"1704","50.205636","192.168.75.216","20.205.243.166","TCP","54","58283  >  443 [ACK] Seq=2 Ack=41 Win=256 Len=0"
"1705","50.205795","192.168.75.216","20.205.243.166","TCP","54","58283  >  443 [FIN, ACK] Seq=2 Ack=41 Win=256 Len=0"
"1706","50.831422","192.168.75.216","20.205.243.166","TCP","54","[TCP Retransmission] 58283  >  443 [FIN, ACK] Seq=2 Ack=41 Win=256 Len=0"
"1707","50.835328","3.233.149.199","192.168.75.216","TCP","54","[TCP Dup ACK 1700#1] 443  >  58279 [ACK] Seq=459 Ack=3208 Win=703 Len=0"
"1708","50.835328","20.205.243.166","192.168.75.216","TCP","54","443  >  58283 [ACK] Seq=41 Ack=3 Win=530 Len=0"
"1710","51.161065","192.168.75.216","3.232.39.161","TCP","55","[TCP Keep-Alive] 58299  >  443 [ACK] Seq=0 Ack=65 Win=255 Len=1"
"1711","51.165689","20.205.243.166","192.168.75.216","TCP","54","[TCP Dup ACK 1708#1] 443  >  58283 [ACK] Seq=41 Ack=3 Win=530 Len=0"
"1712","51.756914","192.168.75.216","157.240.208.60","TCP","55","[TCP Keep-Alive] 58281  >  443 [ACK] Seq=126 Ack=39 Win=254 Len=1"
"1713","51.765200","3.232.39.161","192.168.75.216","TCP","54","[TCP Keep-Alive ACK] 443  >  58299 [ACK] Seq=65 Ack=1 Win=149 Len=0"
"1714","52.740060","157.240.208.60","192.168.75.216","TCP","54","[TCP Keep-Alive ACK] 443  >  58281 [ACK] Seq=39 Ack=127 Win=980 Len=0"
"1717","53.471295","192.168.75.216","20.96.88.162","TCP","55","[TCP Keep-Alive] 58300  >  443 [ACK] Seq=292 Ack=166 Win=257 Len=1"
"1718","54.686381","20.96.88.162","192.168.75.216","TCP","54","[TCP Keep-Alive ACK] 443  >  58300 [ACK] Seq=166 Ack=293 Win=958 Len=0"
"1719","55.246349","192.168.75.216","20.205.243.166","TCP","55","[TCP Keep-Alive] 58284  >  443 [ACK] Seq=0 Ack=41 Win=256 Len=1"
"1721","55.505042","20.205.243.166","192.168.75.216","TCP","54","[TCP Keep-Alive ACK] 443  >  58284 [ACK] Seq=41 Ack=1 Win=149 Len=0"
"1816","57.091524","192.168.75.216","3.225.133.12","TCP","55","[TCP Keep-Alive] 58302  >  443 [ACK] Seq=0 Ack=33 Win=253 Len=1"
"1817","57.924792","192.168.75.216","140.82.113.26","TCP","55","[TCP Keep-Alive] 58291  >  443 [ACK] Seq=29 Ack=26 Win=253 Len=1"
"1818","57.929319","3.225.133.12","192.168.75.216","TCP","54","[TCP Keep-Alive ACK] 443  >  58302 [ACK] Seq=33 Ack=1 Win=178 Len=0"
"1819","58.967469","140.82.113.26","192.168.75.216","TCP","54","[TCP Keep-Alive ACK] 443  >  58291 [ACK] Seq=26 Ack=30 Win=211 Len=0"
"2059","61.144965","20.205.243.168","192.168.75.216","TLSv1.2","93","Application Data"
"2066","61.145285","20.205.243.168","192.168.75.216","TCP","54","443  >  58292 [FIN, ACK] Seq=40 Ack=2 Win=1193 Len=0"
"2069","61.145495","192.168.75.216","20.205.243.168","TCP","54","58292  >  443 [FIN, ACK] Seq=2 Ack=40 Win=256 Len=0"
"2070","61.145603","192.168.75.216","20.205.243.168","TCP","54","58292  >  443 [ACK] Seq=3 Ack=41 Win=256 Len=0"
"2195","61.201171","20.205.243.168","192.168.75.216","TCP","54","443  >  58292 [ACK] Seq=41 Ack=3 Win=1193 Len=0"
"2274","64.610133","192.168.75.216","74.125.200.188","TCP","55","[TCP Keep-Alive] 57907  >  5228 [ACK] Seq=1 Ack=1 Win=253 Len=1"
"2275","64.658911","74.125.200.188","192.168.75.216","TCP","54","[TCP Keep-Alive ACK] 5228  >  57907 [ACK] Seq=1 Ack=2 Win=156 Len=0"
"2335","66.929429","20.96.88.162","192.168.75.216","TCP","54","443  >  58301 [RST, ACK] Seq=1 Ack=2 Win=0 Len=0"
"2336","67.636433","192.168.75.216","185.199.108.133","TCP","55","[TCP Keep-Alive] 57953  >  443 [ACK] Seq=1 Ack=1 Win=257 Len=1"
"2338","68.506720","185.199.108.133","192.168.75.216","TCP","54","[TCP Keep-Alive ACK] 443  >  57953 [ACK] Seq=1 Ack=2 Win=206 Len=0"
"2339","69.687300","192.168.75.216","142.251.10.95","TCP","55","[TCP Keep-Alive] 58149  >  443 [ACK] Seq=1 Ack=1 Win=254 Len=1"
"2340","69.691636","157.240.208.60","192.168.75.216","TLSv1.2","171","Application Data"
"2343","69.743364","192.168.75.216","157.240.208.60","TCP","54","58281  >  443 [ACK] Seq=127 Ack=156 Win=253 Len=0"
"2344","69.748114","142.251.10.95","192.168.75.216","TCP","54","[TCP Keep-Alive ACK] 443  >  58149 [ACK] Seq=1 Ack=2 Win=149 Len=0"
"2345","70.152815","192.168.75.216","20.96.88.162","TLSv1.2","126","Application Data"
"2346","70.152966","192.168.75.216","20.96.88.162","TLSv1.2","100","Application Data"
"2347","70.153033","192.168.75.216","20.96.88.162","TLSv1.2","230","Application Data"
